City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
0,Atuona,PF,broken clouds,79.74,-9.8,-139.03,Villa Enata
2,The Valley,AI,few clouds,82.99,18.22,-63.06,CeBlue Villas & Beach Resort
10,Gizo,SB,overcast clouds,83.75,-8.1,156.84,Imagination Island
22,Zhuanghe,CN,clear sky,77.72,39.7,122.99,Hanting Express Dalian Zhuanghe Qiansheng
36,La Fria,VE,broken clouds,86.0,8.22,-72.24,Estacionamiento de los toledos.
41,Katsuura,JP,light intensity shower rain,84.0,35.13,140.3,Katsuura Hotel Mikazuki
42,Paciran,ID,broken clouds,78.24,-6.88,112.38,Tanjung Kodok Beach Resort
44,Tessalit,ML,broken clouds,85.44,20.2,1.01,
45,Suba,PH,overcast clouds,84.72,10.84,121.01,Suba Pensione House
46,Kapaa,US,overcast clouds,84.2,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
51,Saint Anthony,US,clear sky,84.2,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
63,Hithadhoo,MV,overcast clouds,83.43,-0.6,73.08,Scoop Guest House
68,Cockburn Town,TC,broken clouds,84.2,21.46,-71.14,Osprey Beach Hotel
71,Naze,JP,broken clouds,84.2,28.37,129.48,奄美ポートタワーホテル
75,Hilo,US,broken clouds,84.2,19.73,-155.09,Hilo Hawaiian Hotel
76,Flagstaff,US,clear sky,90.0,35.2,-111.65,Drury Inn & Suites Flagstaff
83,Victoria,HK,overcast clouds,88.0,22.29,114.16,Mini Hotel Central
84,Mitsamiouli,KM,clear sky,76.93,-11.38,43.28,Foyer ADM
88,Avera,US,clear sky,86.0,33.19,-82.53,
91,Hamilton,US,broken clouds,82.4,39.18,-84.53,Six Acres Bed & Breakfast
95,Lewistown,US,clear sky,80.6,40.6,-77.57,Quality Inn & Suites
104,Sur,OM,overcast clouds,87.73,22.57,59.53,Sur Plaza Hotel
107,Padrauna,IN,overcast clouds,78.8,26.9,83.98,Hotel Sky Lark
115,Kahului,US,few clouds,89.6,20.89,-156.47,Maui Seaside Hotel
116,Georgetown,MY,thunderstorm,80.6,5.41,100.34,Cititel Penang
117,Buraydah,SA,clear sky,84.2,26.33,43.98,Mövenpick Hotel Qassim
118,Tuy Hoa,VN,overcast clouds,84.79,13.08,109.3,CenDeluxe Hotel Tuy Hoa
120,Jinchang,CN,overcast clouds,77.76,38.5,102.17,Mingshihui Jinchang International Hotel
124,Huntsville,US,clear sky,89.01,34.73,-86.59,Embassy Suites by Hilton Huntsville Hotel & Spa
126,Salalah,OM,light intensity drizzle,80.6,17.02,54.09,HAMDAN PLAZA HOTEL
128,Vaini,TO,few clouds,77.0,-21.2,-175.2,Keleti Beach Resort
129,Portland,US,few clouds,82.0,45.52,-122.68,Portland Marriott City Center
131,Ambunti,PG,overcast clouds,78.84,-4.24,142.84,Ambunti Lodge
