City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2020-07-09 16:12:21,-42.88,147.33,39.2,93,0,6.93
1,Luderitz,NA,2020-07-09 16:15:43,-26.65,15.16,62.6,67,96,13.87
2,Moose Factory,CA,2020-07-09 16:15:43,51.26,-80.61,80.6,61,1,5.82
3,Harper,LR,2020-07-09 16:15:43,4.38,-7.72,78.04,81,96,11.97
4,Ushuaia,AR,2020-07-09 16:12:46,-54.8,-68.3,35.6,74,40,3.36
5,Tsiroanomandidy,MG,2020-07-09 16:15:44,-18.77,46.03,65.44,46,3,6.91
6,Rikitea,PF,2020-07-09 16:15:44,-23.12,-134.97,68.07,62,4,16.35
7,Kapaa,US,2020-07-09 16:15:44,22.08,-159.32,77.0,83,75,13.87
8,Carnarvon,AU,2020-07-09 16:15:44,-24.87,113.63,59.0,44,100,10.29
9,Yellowknife,CA,2020-07-09 16:11:38,62.46,-114.35,60.8,63,75,3.36
10,Bredasdorp,ZA,2020-07-09 16:15:45,-34.53,20.04,55.4,87,100,6.93
11,Tasiilaq,GL,2020-07-09 16:15:45,65.61,-37.64,53.6,46,40,19.46
12,Chokurdakh,RU,2020-07-09 16:15:45,70.63,147.92,45.18,79,99,10.85
13,Cherskiy,RU,2020-07-09 16:15:45,68.75,161.3,55.76,89,97,3.02
14,Bluff,NZ,2020-07-09 16:15:46,-46.6,168.33,49.66,75,96,20.38
15,Lorengau,PG,2020-07-09 16:15:46,-2.02,147.27,82.35,77,89,9.89
16,Fairbanks,US,2020-07-09 16:15:31,64.84,-147.72,53.6,100,90,3.36
17,Yar-Sale,RU,2020-07-09 16:15:47,66.83,70.83,63.27,58,29,9.8
18,Vaini,TO,2020-07-09 16:15:47,-21.2,-175.2,71.6,88,75,5.82
19,Manicore,BR,2020-07-09 16:15:47,-5.81,-61.3,92.25,43,0,4.61
20,Shimoda,JP,2020-07-09 16:15:47,34.67,138.95,70.0,93,100,7.27
21,Arraial Do Cabo,BR,2020-07-09 16:15:47,-22.97,-42.03,73.67,83,1,20.18
22,Tonantins,BR,2020-07-09 16:15:48,-2.87,-67.8,90.0,49,96,4.47
23,Norman Wells,CA,2020-07-09 16:15:48,65.28,-126.83,55.4,71,75,2.24
24,Nikolskoye,RU,2020-07-09 16:15:48,59.7,30.79,64.4,48,20,6.71
25,Albany,US,2020-07-09 16:12:25,42.6,-73.97,84.99,79,4,1.01
26,Larreynaga,NI,2020-07-09 16:15:49,12.68,-86.57,87.8,58,40,2.66
27,Sitka,US,2020-07-09 16:13:58,57.05,-135.33,53.6,93,90,4.7
28,Jamestown,US,2020-07-09 16:13:40,42.1,-79.24,82.4,61,20,3.36
29,Barcelos,PT,2020-07-09 16:15:49,41.54,-8.62,87.01,68,0,10.29
30,Caravelas,BR,2020-07-09 16:15:50,-17.71,-39.25,82.33,55,0,6.91
31,Mount Gambier,AU,2020-07-09 16:15:50,-37.83,140.77,42.8,87,100,6.93
32,Yarim,YE,2020-07-09 16:15:50,14.3,44.38,63.28,62,72,3.2
33,Castro,BR,2020-07-09 16:15:50,-24.79,-50.01,59.31,49,90,6.55
34,Saint-Philippe,RE,2020-07-09 16:15:04,-21.36,55.77,69.8,83,75,20.8
35,Avarua,CK,2020-07-09 16:15:38,-21.21,-159.78,75.2,69,76,13.87
36,Port Lincoln,AU,2020-07-09 16:15:51,-34.73,135.87,53.69,54,100,14.36
37,Cloquet,US,2020-07-09 16:15:51,46.72,-92.46,75.2,64,1,9.17
38,Mazatlan,MX,2020-07-09 16:15:51,23.22,-106.42,87.01,74,75,12.75
39,Pangnirtung,CA,2020-07-09 16:15:51,66.15,-65.71,48.2,76,75,8.05
40,Bethel,US,2020-07-09 16:13:36,41.37,-73.41,84.99,69,75,5.82
41,Gashua,NG,2020-07-09 16:15:52,12.87,11.05,100.63,24,54,3.98
42,Las Guacamayas,MX,2020-07-09 16:15:52,18.02,-102.22,85.14,61,97,1.59
43,Puerto Ayora,EC,2020-07-09 16:15:52,-0.74,-90.35,68.0,94,98,4.0
44,Atuona,PF,2020-07-09 16:15:53,-9.8,-139.03,79.34,75,14,14.16
45,La Plata,AR,2020-07-09 16:12:36,-34.92,-57.95,55.99,66,40,13.87
46,Leningradskiy,RU,2020-07-09 16:15:53,69.38,178.42,45.41,79,39,10.51
47,Jaque,PA,2020-07-09 16:15:53,7.52,-78.17,84.47,67,44,5.68
48,Punta Arenas,CL,2020-07-09 16:15:53,-53.15,-70.92,35.6,77,75,23.04
49,Touros,BR,2020-07-09 16:15:54,-5.2,-35.46,84.2,74,75,10.29
50,Hofn,IS,2020-07-09 16:15:02,64.25,-15.21,57.2,50,75,19.46
51,Saint-Georges,GD,2020-07-09 16:15:54,12.06,-61.75,82.4,83,75,5.82
